题号,题型,题干,选项A,选项B,选项C,选项D,选项E,正确答案,正确答案文本,解析
128,多选题,拉拔成品锯切机常见故障及原因正确的有,锯片不前进-齿轮泵键条磨损,压臂不动作-气缸活塞杆脱落,压臂不动作-导柱卡死,锯片不前进-液压缸窜油,,"A,B,C,D",锯片不前进-齿轮泵键条磨损；压臂不动作-气缸活塞杆脱落；压臂不动作-导柱卡死；锯片不前进-液压缸窜油,锯片不前进-液压没有供油，电机齿轮泵连接键条磨损，油缸窜油。压臂不动作-气缸损坏，导柱卡死。
129,多选题,先导式溢流阀组成说法正确的是：,先导阀,固定螺栓,主阀,阀芯,,"A,C,D",先导阀；主阀；阀芯,固定螺栓只是固定阀体的作用
130,多选题,不属于盘拉定位小车的组成部分是：,轨道,小车体,定向万向轮,链条,,"A,D",轨道；链条,轨道和链条属于链条驱动组成，不属于小车的组成部分。
131,多选题,属于电磁换向阀的组成结构有：,阀体,阀芯,复位弹簧,电磁铁,,"A,B,C,D",阀体；阀芯；复位弹簧；电磁铁,电磁换向阀由：两个电磁铁、阀芯、复位弹簧、阀体等组成。
132,多选题,属于主减速机结构的是：,输入轴、一级传动轴、二级传动轴、,主齿轮、主轴,壳体、轴承,齿轮油,,"A,B,C",输入轴、一级传动轴、二级传动轴、；主齿轮、主轴；壳体、轴承,齿轮油不属于减速机的结构
133,多选题,油温超过55℃会有哪些影响？,油的润滑效果增强,油的润滑效果减弱,模具易磨损,铜管易出现表面花、米克重超差,,"B,C,D",油的润滑效果减弱；模具易磨损；铜管易出现表面花、米克重超差,
134,多选题,关于油雾润滑装置下列说法正确的有哪些？,生产前检查油箱内油量是否充足,对高速电机转动轴承起到润滑保护作用,使用的油品型号为N32#汽轮机油,使用的油品型号为N25#汽轮机油,,"A,B,C",生产前检查油箱内油量是否充足；对高速电机转动轴承起到润滑保护作用；使用的油品型号为N32#汽轮机油,
135,多选题,容克炉加热系统烧嘴积碳会造成哪些不良影响？,烧嘴的电极烧损加剧,旋流片烧损加剧,换热器烧损加剧,增加炉子能耗,,"A,B,C,D",烧嘴的电极烧损加剧；旋流片烧损加剧；换热器烧损加剧；增加炉子能耗,积碳会导致烧嘴的电极和旋流片及换热器的烧损加剧，同时增加整个炉子的能耗。
136,多选题,容克炉加热燃烧系统包括以下哪些部分？,燃气管道,空气管道,氮气系统,控制系统,,"A,B,D",燃气管道；空气管道；控制系统,
137,多选题,大散盘设备加热室内加热线圈各连接螺栓点检作业标准是什么，下例描述正确的是？,无松动、无滑丝,无积碳,无破损,,,"A,B,C",无松动、无滑丝；无积碳；无破损,
138,多选题,配合的种类分为哪几种？,间隙配合,过渡配合,过盈配合,,,"A,B,C",间隙配合；过渡配合；过盈配合,
139,多选题,离心泵的出口压力低的原因是（ ）,泵的运转方向不对,电机转速太低,泵的叶轮磨损严重,吸入液体的压力太低,,"A,B,C,D",泵的运转方向不对；电机转速太低；泵的叶轮磨损严重；吸入液体的压力太低,
140,多选题,减速机有噪音的原因是（ ）,轴弯曲变形,齿轮磨损严重,齿轮咬合不正确,轴承损坏,,"A,B,C,D",轴弯曲变形；齿轮磨损严重；齿轮咬合不正确；轴承损坏,
141,多选题,方向控制阀包括（ ）,单向阀,换向阀,分流阀,节流阀,,"A,B",单向阀；换向阀,
142,多选题,使用手持电动工具前应（ ）等。,选用安全防护眼镜,检查护盖是否完好,检查电源是否合适,检查电源线是否破损,检查开关是否带漏电保护,"A,B,C,D,E",选用安全防护眼镜；检查护盖是否完好；检查电源是否合适；检查电源线是否破损；检查开关是否带漏电保护,
143,多选题,电焊机手把线、回线需要穿过道路时，应做好( )。,隔离措施,防护措施,固定绑扎,防止线路损坏,警示措施,"A,B,C,D,E",隔离措施；防护措施；固定绑扎；防止线路损坏；警示措施,
144,判断题,【示例需删除】花是种子植物特有的器官。,正确,错误,,,,B,错误,植物类
145,判断题,【示例需删除】骆驼分为双峰驼和单峰驼两种。,正确,错误,,,,A,正确,动物类
146,判断题,大散盘设备测速装置中压轮随铜管运动而转动，带动与之相连接的编码器实现计长动作。,正确,错误,,,,A,正确,
147,判断题,在线退火设备过渡室是加热室和冷却室之间的连接体，内部充满压缩空气进行降温。,正确,错误,,,,B,错误,氮气
148,判断题,在线退火设备冷却室用于铜管的冷却，通过冲入液氮，达到冷却退火效果。,正确,错误,,,,B,错误,氮气
149,判断题,在线退火设备出料装置功能是牵引后对铜管表面进行抹油防止氧化，在弯曲管后进入料框。,正确,错误,,,,A,正确,
150,判断题,大散盘设备中频柜导电铜排是通过自来水降温冷却的。,正确,错误,,,,B,错误,纯水
151,判断题,当设备运转时，产品从放料摆臂装置的横、竖辊中间穿过时，能有效限制产品上下左右大幅度摆动，保证产品能稳定运行。,正确,错误,,,,A,正确,
152,判断题,矫直切割设备水平夹送装置原理是设备开启后，通过伞齿轮将动能传递与主动轴上，另通过直齿传递与副轴，作用于矫直轮，从而形成夹送运动。,正确,错误,,,,A,正确,
153,判断题,矫直切割设备精定尺输送机构中链轮旋转带动链条、夹块旋转提升铜管，锁块起到锁紧固定底座,正确,错误,,,,A,正确,
154,判断题,塞尺是用来检验两个结合面之间公差大小的。,正确,错误,,,,B,错误,塞尺是用来检测两个结合面之间间隙大小的片状量规。
155,判断题,造成漏油除油封质量原因外，在使用过程中的原因还包括：外物侵入、设备起停频繁、震动、不注意维护保养。,正确,错误,,,,A,正确,
156,判断题,水平矫直装置可以实现对铜管水平方向和垂直方向的矫直。,正确,错误,,,,A,正确,
157,判断题,可以用抗磨液压油代替齿轮油。,正确,错误,,,,B,错误,两者功能特性不同，若液压油代替齿轮油用在齿轮箱，混合之后的油液粘度下降，导致油膜强度不够，从而会产生异常的磨损。
158,判断题,V带传动一般是多根同时工作，因而与平带相比，其优点之一是传动中某根带疲劳损坏后可单独更换。,正确,错误,,,,B,错误,
159,判断题,电焊钳只要不影响夹持焊条，即使绝缘损坏还是可以使用的。,正确,错误,,,,B,错误,
160,判断题,在钻削工件时，用夹具夹持工件比较麻烦，我的手劲比较大，所以可以用手持工件进行加工。,正确,错误,,,,B,错误,
161,判断题,气动马达是将压缩空气的压力能转换成直线运动的机械能的装置。,正确,错误,,,,B,错误,气动马达是将压缩空气的压力能转换成旋转运动的机械能的装置。
162,判断题,漏油除先天性原因外，它的生产过程原因包括:外物侵入、设备起停频繁、振动、不注意维护保养。,正确,错误,,,,A,正确,
163,判断题,装配时，零件的清洗是一项很重要的工作，对于橡胶制品(如密封圈等零件)，一定要用汽油清洗。,正确,错误,,,,B,错误,
164,判断题,钢丝绳起吊重物可以使用打结绳扣的方法连接。,正确,错误,,,,B,错误,
165,判断题,装拆销、键、皮带轮时，可以使用锤子直接敲击。,正确,错误,,,,B,错误,
166,判断题,乙炔瓶可以卧置使用。,正确,错误,,,,B,错误,
167,判断题,用游标卡尺测量工件时，测力过大或过小均会影响测量精度。,正确,错误,,,,A,正确,
168,判断题,"当螺栓断在孔内时，可用直径比螺纹小径,小0.5~1mm的钻头钻去螺栓，再用丝锥攻出内螺纹。",正确,错误,,,,A,正确,
169,判断题,长径比较大的零件，如精密的细长轴丝杠、光杠等零件，拆下清洗后，应垫平存放或悬挂立放。,正确,错误,,,,,,
